昵称,产品ID,产品名,产品售价,产品分类,评价,评价类型
s***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：很漂亮，手感舒适，容易把持。操作方式：操作简便，一看就会，很方便。清洁效果：震动频率高，清洁效果好，比手动刷起来轻松快捷，干净。使用续航：续航时间长，使用次数多，很好。漂亮，大气，震动小，手持舒适，没有强烈震感。赠送3个牙刷头，可以用一段时间了。,好评
s***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：很漂亮，颜值很高，手感很舒适。操作方式：操作简单，一看就会，很方便。清洁效果：清洁效果很好，比手动刷的效果好很多。使用续航：续航时间长。一分价钱一分货，这款电动牙刷震动小，手持很舒适，手感很好，刷的也很干净。,好评
精***国,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,物流方便快捷，产品质量特别好，清洁效果也不错，日常家庭使用完全没有问题，挺不错的购物，防水效果也不错，使用过清洁也比较方便，充电和续航能力也不错，挺不错的购物，值得推荐购买。,好评
y***s,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,不错，看起来就很可爱，适合小孩。力度挺大，噪音还可以接受，之前买的其他牌子的坏了，力度也很弱，这次换这个试试。手感很好。小孩也很配合。,好评
柒***伍,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,操作方式：简单方便，共有两档模式，清洁模式与轻柔模式清洁效果：彻底，很完美使用续航：持久外形外观：精美，质量好，孩子很喜欢,好评
晚***你,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观看着简单大气，看着很舒服操作方式：操作方法也非常的简单，三个档位调节，让自己随心所欲清洁效果：震动幅度很大，清洁的非常干净，用着也是非常的方便使用续航：续航时间挺长的，充电也很方便,好评
****d,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,第二次回购了，给阿爸妈妈买了各买一支，外形外观：美观操作方式：简单便捷清洁效果：非常好使用续航：可以一两周冲一次电，续航能力强刷起来很舒适一点都不伤牙齿，还能把黄色的刷干净,好评
u***v,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：灰色硅胶防滑区，绿色按钮和牙刷头，外观不错，刷头微微弯曲，贴合牙齿轮廓。操作方式：三个模式，一个按钮切换。清洁效果：经典型号，清洁力相当好，力度比之前用的康佳的不知名型号大很多，而且震动角度更广。使用续航：无线充电底座，每天用完就放在底座上，刷牙8分钟，充电四十分钟左右。一直用不充电能用四天。,好评
****i,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,收到牙刷，很满意！外观精巧，小而轻，颜色干净。适合女士使用，携带方便。使用方法简单，按键就可以。清洁效果很好。声音小。快递速度很快，态度好！给京东点赞！,好评
****3,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观设计漂亮，卡通造型，孩子很喜欢。操作方式：按键操作，简单易懂，使用方便快捷。清洁效果：洁牙效果好，小孩子牙齿健康。使用续航：续航时间长，充一次用很久。,好评
在***啦,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：6730是经典款了。如图所示，他的手柄部分类似于硅胶的感觉。手持的感觉非常好。整体上重量中规中矩。操作方式：有三种模式。第一个是清洁。第二个是针对敏感牙齿的。第三种清洁力度最强是净白模式。清洁效果：清洁效果不错，电动的频率也很高。声音也可以接受。618活动买的，送了一个刷头和一个旅行装的收纳，感觉性价比蛮高的。,好评
E***g,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,这款电动牙刷几年前买过一个，三个模式可以选择，操作简单，用起来方便，适合不同的人群使用。震动频率很快，防水好，无线充电模式很方便，省了很多事情,好评
m***e,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：精致小巧，包装严密操作方式：简单易会，档位清晰，一键操作清洁效果：动力强劲，刷毛柔软，清洁能力很强使用续航：续航目前不错，每天刷两次，大概超过两周充电一次，非常满意,好评
s***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：儿童款，看着就漂亮，颜色很耐看，手感很棒！操作方式：小朋友一教就会，很方便，震动小，儿童手持无感觉。清洁效果：清洁效果好，原来自己手动刷牙总是不愿意刷，现在自己积极主动刷牙了。使用续航：续航时间长，充电快！以后只认准这款牙刷了，赠送旅行收纳盒，很方便。,好评
大***倌,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：适合孩子审美，手感磨砂质感。操作方式：简单易用清洁效果：效果优良使用续航：一次充电可以使用很久。目前还没第二次充电。,好评
u***m,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,好旧，都是几年前的货了...,中评
白***盐,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,全家人用的都是在京东买的飞利浦电动牙刷，使用舒适洁净，质量有保证。外形外观：机皇款三种模式 风格简约，白色干净手持部分很有质感。操作方式：按钮操作，简单一键切换三种模式，洁净、敏感、清洁+美白，前两种设定是2分钟，后一种是2分30秒。清洁效果：震动刷牙力度比较合适，比手动刷牙干净，清洁效果好，清理牙菌斑，清除牙齿里的食物残渣。使用续航：之前用的飞利浦电动牙刷，基本上是充一次电可用十天左右。这款收到开机绿灯常亮，有电直接使用，绿灯闪烁用卡座充电，安全便捷。,好评
琵***世,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,挑选了很久对比其他品牌同类型产品，从9外观设计上比较讨小孩子喜欢，操作方便，刷牙的清洁效果很好，噪音小，震动幅度小，电池的续航时间长,好评
h***n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利浦的电动牙刷?还不错有很多档位 每次刷牙都很舒服还真不错的外形外观：看照片操作方式：很方便清洁效果：特别好 很干净使用续航：时间很长不用怎么充电,好评
i***7,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,由于有事情，评价晚了。京东自营还是不错，到货都是隔天就到了。由于疫情，这次送货上门等了一天。包裹保护还是一如既往的包裹很严实，牛皮纸盒加气囊防震不错。牙刷包装很简介，自带有两个刷头，由于有活动又买了两个刷头，质量很不错，和牙刷自带品质一样。这款儿童牙刷手感很好，磨砂，重量比之前别家的轻多了，小孩拿着一点累。两档清洁模式，小孩用完全够了。就是牙刷的刷牙时长设计有点短，感觉不到两份就结束了，时间很短。叫孩子都是按了两次，才把牙刷完。希望以后的产品能改进下。充电试了下，很方便，希望一次充电能用的时间久点。总体很满意，希望经用耐用！,好评
l***5,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,好评，外形外观：外观很漂亮，儿童用刷头大小合适，刷毛柔软，儿子很喜欢操作方式：操作简单，小孩子自己都可以操作清洁效果：清洁效果很好，可以有效去除牙上的污渍。,好评
大***啊,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利浦电动 物流很快 包装精致 实物与卖家图片一致 外形简洁大方 做工精细 白色刷体 刷头和按钮用绿色 点缀的恰到好处 刷头大小适中 噪音小 操作简单 清洁效果好 刷完后牙齿比较舒服 牙刷电池续航能力强，充一次电可以用很久。,好评
